"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"142",0.05,"uniform",24,"QPAC BB",9300,0
"143",0.05,"uniform",24,"QPAC",107280,0
"144",0.05,"uniform",24,"Doubled Max-Q",1150464,0
"145",0.05,"uniform",25,"LUCB BB",4791,0
"146",0.05,"uniform",25,"LUCB DKW",69491,0
"147",0.05,"uniform",25,"LUCB Stitched",8689,0
"148",0.05,"uniform",25,"QPAC BB",10470,0
"149",0.05,"uniform",25,"QPAC",104300,0
"150",0.05,"uniform",25,"Doubled Max-Q",1150464,0
"151",0.05,"uniform",26,"LUCB BB",3767,0
"152",0.05,"uniform",26,"LUCB DKW",65700,0
"153",0.05,"uniform",26,"LUCB Stitched",7709,0
"154",0.05,"uniform",26,"QPAC BB",11010,0
"155",0.05,"uniform",26,"QPAC",102500,0
"156",0.05,"uniform",26,"Doubled Max-Q",1177856,0
"157",0.05,"uniform",27,"LUCB BB",2993,0
"158",0.05,"uniform",27,"LUCB DKW",66185,0
"159",0.05,"uniform",27,"LUCB Stitched",8486,0
"160",0.05,"uniform",27,"QPAC",93090,0
"161",0.05,"uniform",27,"QPAC BB",6920,0
"162",0.05,"uniform",27,"Doubled Max-Q",1150464,0
"163",0.05,"uniform",28,"LUCB BB",4687,0
"164",0.05,"uniform",28,"LUCB DKW",60097,0
"165",0.05,"uniform",28,"LUCB Stitched",8239,0
"166",0.05,"uniform",28,"QPAC",91890,0
"167",0.05,"uniform",28,"QPAC BB",7040,0
"168",0.05,"uniform",28,"Doubled Max-Q",1177856,0
"169",0.05,"uniform",29,"LUCB BB",3189,0
"170",0.05,"uniform",29,"LUCB DKW",66319,0
"171",0.05,"uniform",29,"LUCB Stitched",8396,0
"172",0.05,"uniform",29,"QPAC",92930,0
"173",0.05,"uniform",29,"QPAC BB",5930,0
"174",0.05,"uniform",29,"Doubled Max-Q",1177856,0
"175",0.05,"uniform",30,"LUCB BB",6495,0
"176",0.05,"uniform",30,"LUCB DKW",70092,0
"177",0.05,"uniform",30,"LUCB Stitched",8463,0
"178",0.05,"uniform",30,"QPAC BB",8880,0
"179",0.05,"uniform",30,"QPAC",92510,0
"180",0.05,"uniform",30,"Doubled Max-Q",1150464,0
"181",0.05,"uniform",31,"LUCB BB",3044,0
"182",0.05,"uniform",31,"LUCB DKW",61423,0
"183",0.05,"uniform",31,"LUCB Stitched",8032,0
"184",0.05,"uniform",31,"QPAC BB",10010,0
"185",0.05,"uniform",31,"QPAC",90250,0
"186",0.05,"uniform",31,"Doubled Max-Q",1260032,0
"187",0.05,"uniform",32,"LUCB BB",4067,0
"188",0.05,"uniform",32,"LUCB DKW",71022,0
"189",0.05,"uniform",32,"LUCB Stitched",7088,0
"190",0.05,"uniform",32,"QPAC BB",8120,0
"191",0.05,"uniform",32,"QPAC",93040,0
"192",0.05,"uniform",32,"Doubled Max-Q",1177856,0
"193",0.05,"uniform",33,"LUCB BB",4982,0
"194",0.05,"uniform",33,"LUCB DKW",66601,0
"195",0.05,"uniform",33,"LUCB Stitched",7219,0
"196",0.05,"uniform",33,"QPAC",94060,0
"197",0.05,"uniform",33,"QPAC BB",5640,0
"198",0.05,"uniform",33,"Doubled Max-Q",1177856,0
"199",0.05,"uniform",34,"LUCB BB",4426,0
"200",0.05,"uniform",34,"LUCB DKW",64413,0
"201",0.05,"uniform",34,"LUCB Stitched",8927,0
"202",0.05,"uniform",34,"QPAC",96760,0
"203",0.05,"uniform",34,"QPAC BB",8120,0
"204",0.05,"uniform",34,"Doubled Max-Q",1150464,0
"205",0.05,"uniform",35,"LUCB BB",4022,0
"206",0.05,"uniform",35,"LUCB DKW",65764,0
"207",0.05,"uniform",35,"LUCB Stitched",7757,0
"208",0.05,"uniform",35,"QPAC",95500,0
"209",0.05,"uniform",35,"QPAC BB",4890,0
"210",0.05,"uniform",35,"Doubled Max-Q",1177856,0
"211",0.05,"uniform",36,"LUCB BB",4582,0
"212",0.05,"uniform",36,"LUCB DKW",64617,0
"213",0.05,"uniform",36,"LUCB Stitched",7701,0
"214",0.05,"uniform",36,"QPAC",113700,0
"215",0.05,"uniform",36,"QPAC BB",5510,0
"216",0.05,"uniform",36,"Doubled Max-Q",1123072,0
"217",0.05,"uniform",37,"LUCB BB",4396,0
"218",0.05,"uniform",37,"LUCB DKW",66821,0
"219",0.05,"uniform",37,"LUCB Stitched",8336,0
"220",0.05,"uniform",37,"QPAC",107280,0
"221",0.05,"uniform",37,"QPAC BB",7930,0
"222",0.05,"uniform",37,"Doubled Max-Q",1150464,0
"223",0.05,"uniform",38,"LUCB BB",4989,0
"224",0.05,"uniform",38,"LUCB DKW",70092,0
"225",0.05,"uniform",38,"LUCB Stitched",8426,0
"226",0.05,"uniform",38,"QPAC",89800,0
"227",0.05,"uniform",38,"QPAC BB",8160,0
"228",0.05,"uniform",38,"Doubled Max-Q",1150464,0
"229",0.05,"uniform",39,"LUCB BB",3825,0
"230",0.05,"uniform",39,"LUCB DKW",63811,0
"231",0.05,"uniform",39,"LUCB Stitched",8577,0
"232",0.05,"uniform",39,"QPAC",102100,0
"233",0.05,"uniform",39,"QPAC BB",6600,0
"234",0.05,"uniform",39,"Doubled Max-Q",1177856,0
"235",0.05,"uniform",40,"LUCB BB",5106,0
"236",0.05,"uniform",40,"LUCB DKW",65749,0
"237",0.05,"uniform",40,"LUCB Stitched",7797,0
"238",0.05,"uniform",40,"QPAC BB",11130,0
"239",0.05,"uniform",40,"QPAC",113090,0
"240",0.05,"uniform",40,"Doubled Max-Q",1177856,0
"241",0.05,"uniform",41,"LUCB BB",4721,0
"242",0.05,"uniform",41,"LUCB DKW",70357,0
"243",0.05,"uniform",41,"LUCB Stitched",8063,0
"244",0.05,"uniform",41,"QPAC",95320,0
"245",0.05,"uniform",41,"QPAC BB",6600,0
"246",0.05,"uniform",41,"Doubled Max-Q",1205248,0
"247",0.05,"uniform",42,"LUCB BB",4925,0
"248",0.05,"uniform",42,"LUCB DKW",66437,0
"249",0.05,"uniform",42,"LUCB Stitched",9150,0
"250",0.05,"uniform",42,"QPAC",94490,0
"251",0.05,"uniform",42,"QPAC BB",8290,0
"252",0.05,"uniform",42,"Doubled Max-Q",1177856,0
"253",0.05,"uniform",43,"LUCB BB",4815,0
"254",0.05,"uniform",43,"LUCB DKW",75773,0
"255",0.05,"uniform",43,"LUCB Stitched",8795,0
"256",0.05,"uniform",43,"QPAC BB",9580,0
"257",0.05,"uniform",43,"QPAC",104980,0
"258",0.05,"uniform",43,"Doubled Max-Q",1205248,0
"259",0.05,"uniform",44,"LUCB BB",5085,0
"260",0.05,"uniform",44,"LUCB DKW",67833,0
"261",0.05,"uniform",44,"LUCB Stitched",8184,0
"262",0.05,"uniform",44,"QPAC",91470,0
"263",0.05,"uniform",44,"QPAC BB",7650,0
"264",0.05,"uniform",44,"Doubled Max-Q",1232640,0
"265",0.05,"uniform",45,"LUCB BB",3939,0
"266",0.05,"uniform",45,"LUCB DKW",62193,0
"267",0.05,"uniform",45,"LUCB Stitched",6397,0
"268",0.05,"uniform",45,"QPAC BB",9470,0
"269",0.05,"uniform",45,"QPAC",87340,0
"270",0.05,"uniform",45,"Doubled Max-Q",1205248,0
"271",0.05,"uniform",46,"LUCB BB",3834,0
"272",0.05,"uniform",46,"LUCB DKW",67211,0
"273",0.05,"uniform",46,"LUCB Stitched",9331,0
"274",0.05,"uniform",46,"QPAC",99620,0
"275",0.05,"uniform",46,"QPAC BB",6900,0
"276",0.05,"uniform",46,"Doubled Max-Q",1205248,0
"277",0.05,"uniform",47,"LUCB BB",3960,0
"278",0.05,"uniform",47,"LUCB DKW",71741,0
"279",0.05,"uniform",47,"LUCB Stitched",7767,0
"280",0.05,"uniform",47,"QPAC",97500,0
"281",0.05,"uniform",47,"QPAC BB",6740,0
"282",0.05,"uniform",47,"Doubled Max-Q",1123072,0
"283",0.05,"uniform",48,"LUCB BB",3963,0
"284",0.05,"uniform",48,"LUCB DKW",67633,0
"285",0.05,"uniform",48,"LUCB Stitched",7147,0
"286",0.05,"uniform",48,"QPAC",100330,0
"287",0.05,"uniform",48,"QPAC BB",7020,0
"288",0.05,"uniform",48,"Doubled Max-Q",1232640,0
"289",0.05,"uniform",49,"LUCB BB",6751,0
"290",0.05,"uniform",49,"LUCB DKW",70629,0
"291",0.05,"uniform",49,"LUCB Stitched",8801,0
"292",0.05,"uniform",49,"QPAC",87270,0
"293",0.05,"uniform",49,"QPAC BB",6390,0
"294",0.05,"uniform",49,"Doubled Max-Q",1177856,0
"295",0.05,"uniform",50,"LUCB BB",4483,0
"296",0.05,"uniform",50,"LUCB DKW",64751,0
"297",0.05,"uniform",50,"LUCB Stitched",9211,0
"298",0.05,"uniform",50,"QPAC",103910,0
"299",0.05,"uniform",50,"QPAC BB",5080,0
"300",0.05,"uniform",50,"Doubled Max-Q",1177856,0
"301",0.05,"uniform",51,"LUCB BB",4272,0
"302",0.05,"uniform",51,"LUCB DKW",63597,0
"303",0.05,"uniform",51,"LUCB Stitched",7919,0
"304",0.05,"uniform",51,"QPAC",95500,0
"305",0.05,"uniform",51,"QPAC BB",6920,0
"306",0.05,"uniform",51,"Doubled Max-Q",1205248,0
"307",0.05,"uniform",52,"LUCB BB",5303,0
"308",0.05,"uniform",52,"LUCB DKW",75279,0
"309",0.05,"uniform",52,"LUCB Stitched",8426,0
"310",0.05,"uniform",52,"QPAC",92800,0
"311",0.05,"uniform",52,"QPAC BB",7060,0
"312",0.05,"uniform",52,"Doubled Max-Q",1177856,0
"313",0.05,"uniform",53,"LUCB BB",4663,0
"314",0.05,"uniform",53,"LUCB DKW",69879,0
"315",0.05,"uniform",53,"LUCB Stitched",8427,0
"316",0.05,"uniform",53,"QPAC BB",12770,0
"317",0.05,"uniform",53,"QPAC",106190,0
